Title,Title20,Country/Region,SCIE,SSCI
JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,ENGLAND,,Yes
JOURNAL OF HISTOTECHNOLOGY,J HISTOTECHNOL,UNITED STATES,Yes,
JOURNAL OF HOMELAND SECURITY AND EMERGENCY MANAGEMENT,J HOMEL SECUR EMERG,UNITED STATES,,Yes
JOURNAL OF HOMOSEXUALITY,J HOMOSEXUAL,UNITED STATES,,Yes
JOURNAL OF HOMOTOPY AND RELATED STRUCTURES,J HOMOTOPY RELAT STR,REP OF GEORGIA,Yes,
JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,J HORTIC SCI BIOTECH,ENGLAND,Yes,
JOURNAL OF HOSPICE & PALLIATIVE NURSING,J HOSP PALLIAT NURS,UNITED STATES,Yes,Yes
JOURNAL OF HOSPITAL INFECTION,J HOSP INFECT,ENGLAND,Yes,
JOURNAL OF HOSPITAL MEDICINE,J HOSP MED,UNITED STATES,Yes,
JOURNAL OF HOSPITALITY & TOURISM RESEARCH,J HOSP TOUR RES,UNITED STATES,,Yes
JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,J HOSP TOUR MANAG,ENGLAND,,Yes
JOURNAL OF HOSPITALITY AND TOURISM TECHNOLOGY,J HOSP TOUR TECHNOL,ENGLAND,,Yes
JOURNAL OF HOSPITALITY LEISURE SPORT & TOURISM EDUCATION,J HOSP LEIS SPORT TO,ENGLAND,,Yes
JOURNAL OF HOSPITALITY MARKETING & MANAGEMENT,J HOSP MARKET MANAG,UNITED STATES,,Yes
JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT,J HOUS BUILT ENVIRON,NETHERLANDS,,Yes
JOURNAL OF HOUSING ECONOMICS,J HOUS ECON,UNITED STATES,,Yes
JOURNAL OF HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY-MEDICAL SCIENCES,J HUAZHONG U SCI-MED,PEOPLES R CHINA,Yes,
JOURNAL OF HUMAN CAPITAL,J HUM CAPITAL,UNITED STATES,,Yes
JOURNAL OF HUMAN DEVELOPMENT AND CAPABILITIES,J HUM DEV CAPABIL,ENGLAND,,Yes
JOURNAL OF HUMAN GENETICS,J HUM GENET,JAPAN,Yes,
JOURNAL OF HUMAN HYPERTENSION,J HUM HYPERTENS,ENGLAND,Yes,
JOURNAL OF HUMAN KINETICS,J HUM KINET,POLAND,Yes,
JOURNAL OF HUMAN LACTATION,J HUM LACT,UNITED STATES,Yes,
JOURNAL OF HUMAN NUTRITION AND DIETETICS,J HUM NUTR DIET,ENGLAND,Yes,
JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,UNITED STATES,,Yes
JOURNAL OF HUMAN RIGHTS,J HUM RIGHTS,ENGLAND,,Yes
JOURNAL OF HUMANISTIC PSYCHOLOGY,J HUMANIST PSYCHOL,UNITED STATES,,Yes
JOURNAL OF HYDRAULIC ENGINEERING,J HYDRAUL ENG,UNITED STATES,Yes,
JOURNAL OF HYDRAULIC RESEARCH,J HYDRAUL RES,NETHERLANDS,Yes,
JOURNAL OF HYDRODYNAMICS,J HYDRODYN,PEOPLES R CHINA,Yes,
JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,J HYDRO-ENVIRON RES,NETHERLANDS,Yes,
JOURNAL OF HYDROINFORMATICS,J HYDROINFORM,ENGLAND,Yes,
JOURNAL OF HYDROLOGIC ENGINEERING,J HYDROL ENG,UNITED STATES,Yes,
JOURNAL OF HYDROLOGY,J HYDROL,NETHERLANDS,Yes,
JOURNAL OF HYDROLOGY AND HYDROMECHANICS,J HYDROL HYDROMECH,SLOVAKIA,Yes,
JOURNAL OF HYDROLOGY-REGIONAL STUDIES,J HYDROL-REG STUD,NETHERLANDS,Yes,
JOURNAL OF HYDROMETEOROLOGY,J HYDROMETEOROL,UNITED STATES,Yes,
JOURNAL OF HYMENOPTERA RESEARCH,J HYMENOPT RES,BULGARIA,Yes,
JOURNAL OF HYPERBOLIC DIFFERENTIAL EQUATIONS,J HYPERBOL DIFFER EQ,UNITED STATES,Yes,
JOURNAL OF HYPERTENSION,J HYPERTENS,UNITED STATES,Yes,
JOURNAL OF IBERIAN GEOLOGY,J IBER GEOL,SPAIN,Yes,
JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,J IMAGING SCI TECHN,UNITED STATES,Yes,
JOURNAL OF IMMIGRANT & REFUGEE STUDIES,J IMMIGR REFUG STUD,UNITED STATES,,Yes
JOURNAL OF IMMIGRANT AND MINORITY HEALTH,J IMMIGR MINOR HEALT,UNITED STATES,,Yes
JOURNAL OF IMMUNOLOGICAL METHODS,J IMMUNOL METHODS,NETHERLANDS,Yes,
JOURNAL OF IMMUNOLOGY,J IMMUNOL,UNITED STATES,Yes,
JOURNAL OF IMMUNOLOGY RESEARCH,J IMMUNOL RES,ENGLAND,Yes,
JOURNAL OF IMMUNOTHERAPY,J IMMUNOTHER,UNITED STATES,Yes,
JOURNAL OF IMMUNOTOXICOLOGY,J IMMUNOTOXICOL,UNITED STATES,Yes,
JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,J INCL PHENOM MACRO,NETHERLANDS,Yes,
JOURNAL OF INDIVIDUAL DIFFERENCES,J INDIVID DIFFER,GERMANY,,Yes
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,J IND ENG CHEM,SOUTH KOREA,Yes,
JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,J IND MANAG OPTIM,UNITED STATES,Yes,
JOURNAL OF INDUSTRIAL ECOLOGY,J IND ECOL,UNITED STATES,Yes,
JOURNAL OF INDUSTRIAL ECONOMICS,J IND ECON,ENGLAND,,Yes
JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION,J IND INF INTEGR,NETHERLANDS,Yes,
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,J IND MICROBIOL BIOT,GERMANY,Yes,
JOURNAL OF INDUSTRIAL RELATIONS,J IND RELAT,ENGLAND,,Yes
JOURNAL OF INDUSTRIAL TEXTILES,J IND TEXT,UNITED STATES,Yes,
JOURNAL OF INEQUALITIES AND APPLICATIONS,J INEQUAL APPL,UNITED STATES,Yes,
JOURNAL OF INFECTION,J INFECTION,UNITED STATES,Yes,
JOURNAL OF INFECTION AND CHEMOTHERAPY,J INFECT CHEMOTHER,JAPAN,Yes,
JOURNAL OF INFECTION AND PUBLIC HEALTH,J INFECT PUBLIC HEAL,ENGLAND,Yes,
JOURNAL OF INFECTION IN DEVELOPING COUNTRIES,J INFECT DEV COUNTR,ITALY,Yes,
JOURNAL OF INFECTIOUS DISEASES,J INFECT DIS,UNITED STATES,Yes,
JOURNAL OF INFLAMMATION RESEARCH,J INFLAMM RES,NEW ZEALAND,Yes,
JOURNAL OF INFLAMMATION-LONDON,J INFLAMM-LOND,ENGLAND,Yes,
JOURNAL OF INFORMATION SCIENCE,J INF SCI,ENGLAND,Yes,Yes
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,J INF SCI ENG,TAIWAN,Yes,
JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,J INF SECUR APPL,ENGLAND,Yes,
JOURNAL OF INFORMATION TECHNOLOGY,J INF TECHNOL-UK,ENGLAND,Yes,Yes
JOURNAL OF INFORMATION TECHNOLOGY & POLITICS,J INF TECHNOL POLITI,UNITED STATES,,Yes
JOURNAL OF INFORMETRICS,J INFORMETR,NETHERLANDS,Yes,Yes
JOURNAL OF INFRARED AND MILLIMETER WAVES,J INFRARED MILLIM W,PEOPLES R CHINA,Yes,
JOURNAL OF INFRARED MILLIMETER AND TERAHERTZ WAVES,J INFRARED MILLIM TE,UNITED STATES,Yes,
JOURNAL OF INFRASTRUCTURE SYSTEMS,J INFRASTRUCT SYST,UNITED STATES,Yes,
JOURNAL OF INHERITED METABOLIC DISEASE,J INHERIT METAB DIS,GERMANY,Yes,
JOURNAL OF INNATE IMMUNITY,J INNATE IMMUN,UNITED STATES,Yes,
JOURNAL OF INNOVATION & KNOWLEDGE,J INNOV KNOWL,SPAIN,,Yes
JOURNAL OF INNOVATIVE OPTICAL HEALTH SCIENCES,J INNOV OPT HEAL SCI,SINGAPORE,Yes,
JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS,J INORG ORGANOMET P,NETHERLANDS,Yes,
JOURNAL OF INORGANIC BIOCHEMISTRY,J INORG BIOCHEM,UNITED STATES,Yes,
JOURNAL OF INORGANIC MATERIALS,J INORG MATER,PEOPLES R CHINA,Yes,
JOURNAL OF INSECT BEHAVIOR,J INSECT BEHAV,UNITED STATES,Yes,
JOURNAL OF INSECT CONSERVATION,J INSECT CONSERV,NETHERLANDS,Yes,
JOURNAL OF INSECT PHYSIOLOGY,J INSECT PHYSIOL,UNITED STATES,Yes,
JOURNAL OF INSECT SCIENCE,J INSECT SCI,UNITED STATES,Yes,
JOURNAL OF INSECTS AS FOOD AND FEED,J INSECTS FOOD FEED,NETHERLANDS,Yes,
JOURNAL OF INSTITUTIONAL AND THEORETICAL ECONOMICS-ZEITSCHRIFT FUR DIE GESAMTE STAATSWISSENSCHAFT,J INST THEOR ECON,GERMANY,,Yes
JOURNAL OF INSTITUTIONAL ECONOMICS,J I ECON,ENGLAND,,Yes
JOURNAL OF INSTRUMENTATION,J INSTRUM,ENGLAND,Yes,
JOURNAL OF INTEGRAL EQUATIONS AND APPLICATIONS,J INTEGRAL EQU APPL,UNITED STATES,Yes,
JOURNAL OF INTEGRATED PEST MANAGEMENT,J INTEGR PEST MANAG,UNITED STATES,Yes,
JOURNAL OF INTEGRATIVE AGRICULTURE,J INTEGR AGR,PEOPLES R CHINA,Yes,
JOURNAL OF INTEGRATIVE ENVIRONMENTAL SCIENCES,J INTEGR ENVIRON SCI,ENGLAND,Yes,
JOURNAL OF INTEGRATIVE MEDICINE-JIM,J INTEGR MED-JIM,PEOPLES R CHINA,Yes,
JOURNAL OF INTEGRATIVE NEUROSCIENCE,J INTEGR NEUROSCI,HONG KONG,Yes,
JOURNAL OF INTEGRATIVE PLANT BIOLOGY,J INTEGR PLANT BIOL,PEOPLES R CHINA,Yes,
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,J INTELLECT DEV DIS,ENGLAND,,Yes
JOURNAL OF INTELLECTUAL CAPITAL,J INTELLECT CAP,ENGLAND,,Yes
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,ENGLAND,,Yes
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,J INTELL FUZZY SYST,NETHERLANDS,Yes,
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,NETHERLANDS,Yes,
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,NETHERLANDS,Yes,
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,NETHERLANDS,Yes,
JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES,J INTEL MAT SYST STR,ENGLAND,Yes,
JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,J INTELL TRANSPORT S,UNITED STATES,Yes,Yes
JOURNAL OF INTENSIVE CARE,J INTENSIVE CARE,ENGLAND,Yes,
JOURNAL OF INTENSIVE CARE MEDICINE,J INTENSIVE CARE MED,UNITED STATES,Yes,
JOURNAL OF INTERACTIVE MARKETING,J INTERACT MARK,UNITED STATES,,Yes
JOURNAL OF INTERDISCIPLINARY HISTORY,J INTERDISCIPL HIST,UNITED STATES,,Yes
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,J INTERF CYTOK RES,UNITED STATES,Yes,
JOURNAL OF INTERNAL MEDICINE,J INTERN MED,ENGLAND,Yes,
JOURNAL OF INTERNATIONAL ADVANCED OTOLOGY,J INT ADV OTOL,TURKEY,Yes,
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,J INT BUS STUD,ENGLAND,,Yes
JOURNAL OF INTERNATIONAL CRIMINAL JUSTICE,J INT CRIM JUSTICE,ENGLAND,,Yes
JOURNAL OF INTERNATIONAL DEVELOPMENT,J INT DEV,ENGLAND,,Yes
JOURNAL OF INTERNATIONAL DISPUTE SETTLEMENT,J INT DISPUT SETTL,ENGLAND,,Yes
JOURNAL OF INTERNATIONAL ECONOMIC LAW,J INT ECON LAW,ENGLAND,,Yes
JOURNAL OF INTERNATIONAL ECONOMICS,J INT ECON,NETHERLANDS,,Yes
JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,J INT FIN MANAG ACC,ENGLAND,,Yes
JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS & MONEY,J INT FINANC MARK I,NETHERLANDS,,Yes
JOURNAL OF INTERNATIONAL MANAGEMENT,J INT MANAG,NETHERLANDS,,Yes
JOURNAL OF INTERNATIONAL MARKETING,J INT MARKETING,UNITED STATES,,Yes
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,J INT MED RES,ENGLAND,Yes,
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,J INT MONEY FINANC,ENGLAND,,Yes
JOURNAL OF INTERNATIONAL RELATIONS AND DEVELOPMENT,J INT RELAT DEV,SLOVENIA,,Yes
JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,J INT TRADE ECON DEV,ENGLAND,,Yes
JOURNAL OF INTERNET TECHNOLOGY,J INTERNET TECHNOL,TAIWAN,Yes,
JOURNAL OF INTERPERSONAL VIOLENCE,J INTERPERS VIOLENCE,UNITED STATES,,Yes
JOURNAL OF INTERPROFESSIONAL CARE,J INTERPROF CARE,UNITED STATES,Yes,Yes
JOURNAL OF INTERVENTION AND STATEBUILDING,J INTERV STATEBUILD,ENGLAND,,Yes
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,J INTERV CARD ELECTR,NETHERLANDS,Yes,
JOURNAL OF INTERVENTIONAL CARDIOLOGY,J INTERV CARDIOL,UNITED STATES,Yes,
JOURNAL OF INVASIVE CARDIOLOGY,J INVASIVE CARDIOL,UNITED STATES,Yes,
JOURNAL OF INVERSE AND ILL-POSED PROBLEMS,J INVERSE ILL-POSE P,GERMANY,Yes,
JOURNAL OF INVERTEBRATE PATHOLOGY,J INVERTEBR PATHOL,UNITED STATES,Yes,
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,J INVEST ALLERG CLIN,SPAIN,Yes,
JOURNAL OF INVESTIGATIVE DERMATOLOGY,J INVEST DERMATOL,UNITED STATES,Yes,
JOURNAL OF INVESTIGATIVE MEDICINE,J INVEST MED,ENGLAND,Yes,
JOURNAL OF INVESTIGATIVE PSYCHOLOGY AND OFFENDER PROFILING,J INVEST PSYCHOL OFF,ENGLAND,,Yes
JOURNAL OF INVESTIGATIVE SURGERY,J INVEST SURG,UNITED STATES,Yes,
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,J IRON STEEL RES INT,PEOPLES R CHINA,Yes,
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,J IRRIG DRAIN ENG,UNITED STATES,Yes,
JOURNAL OF ISRAELI HISTORY,J ISR HIST,ENGLAND,,Yes
JOURNAL OF JAPANESE STUDIES,J JPN STUD,UNITED STATES,,Yes
JOURNAL OF KING SAUD UNIVERSITY SCIENCE,J KING SAUD UNIV SCI,SAUDI ARABIA,Yes,
JOURNAL OF KNEE SURGERY,J KNEE SURG,UNITED STATES,Yes,
JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,J KNOT THEOR RAMIF,SINGAPORE,Yes,
JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,ENGLAND,,Yes
JOURNAL OF KOREA TRADE,J KOREA TRADE,SOUTH KOREA,,Yes
JOURNAL OF KOREAN ACADEMY OF NURSING,J KOREAN ACAD NURS,SOUTH KOREA,Yes,Yes
JOURNAL OF KOREAN MEDICAL SCIENCE,J KOREAN MED SCI,SOUTH KOREA,Yes,
JOURNAL OF KOREAN NEUROSURGICAL SOCIETY,J KOREAN NEUROSURG S,SOUTH KOREA,Yes,
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,J LABELLED COMPD RAD,ENGLAND,Yes,
JOURNAL OF LABOR ECONOMICS,J LABOR ECON,UNITED STATES,,Yes
JOURNAL OF LABOR RESEARCH,J LABOR RES,UNITED STATES,,Yes
JOURNAL OF LABORATORY MEDICINE,J LAB MED,GERMANY,Yes,
JOURNAL OF LAND USE SCIENCE,J LAND USE SCI,ENGLAND,Yes,
JOURNAL OF LANGUAGE AND POLITICS,J LANG POLIT,NETHERLANDS,,Yes
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,J LANG SOC PSYCHOL,UNITED STATES,,Yes
JOURNAL OF LANGUAGE IDENTITY AND EDUCATION,J LANG IDENTITY EDUC,UNITED STATES,,Yes
JOURNAL OF LAPAROENDOSCOPIC & ADVANCED SURGICAL TECHNIQUES,J LAPAROENDOSC ADV S,UNITED STATES,Yes,
JOURNAL OF LARYNGOLOGY AND OTOLOGY,J LARYNGOL OTOL,ENGLAND,Yes,
JOURNAL OF LASER APPLICATIONS,J LASER APPL,UNITED STATES,Yes,
JOURNAL OF LASER MICRO NANOENGINEERING,J LASER MICRO NANOEN,JAPAN,Yes,
JOURNAL OF LATIN AMERICAN AND CARIBBEAN ANTHROPOLOGY,J LAT AM CARIBB ANTH,UNITED STATES,,Yes
JOURNAL OF LATIN AMERICAN CULTURAL STUDIES,J LAT AM CULT STUD,ENGLAND,,Yes
JOURNAL OF LATIN AMERICAN STUDIES,J LAT AM STUD,ENGLAND,,Yes
JOURNAL OF LATINA-O PSYCHOLOGY,J LAT O PSYCHOL,UNITED STATES,,Yes
JOURNAL OF LAW & ECONOMICS,J LAW ECON,UNITED STATES,,Yes
JOURNAL OF LAW AND SOCIETY,J LAW SOC,ENGLAND,,Yes
JOURNAL OF LAW AND THE BIOSCIENCES,J LAW BIOSCI,UNITED STATES,Yes,Yes
JOURNAL OF LAW ECONOMICS & ORGANIZATION,J LAW ECON ORGAN,UNITED STATES,,Yes
JOURNAL OF LAW MEDICINE & ETHICS,J LAW MED ETHICS,UNITED STATES,Yes,Yes
JOURNAL OF LEADERSHIP & ORGANIZATIONAL STUDIES,J LEADERSH ORG STUD,UNITED STATES,,Yes
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL-US,UNITED STATES,,Yes
JOURNAL OF LEGAL ANALYSIS,J LEGAL ANAL,ENGLAND,,Yes
JOURNAL OF LEGAL EDUCATION,J LEGAL EDUC,UNITED STATES,,Yes
JOURNAL OF LEGAL MEDICINE,J LEGAL MED,UNITED STATES,,Yes
JOURNAL OF LEGAL STUDIES,J LEGAL STUD,UNITED STATES,,Yes
JOURNAL OF LEISURE RESEARCH,J LEISURE RES,UNITED STATES,,Yes
JOURNAL OF LEUKOCYTE BIOLOGY,J LEUKOCYTE BIOL,UNITED STATES,Yes,
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,J LIBR INF SCI,ENGLAND,,Yes
JOURNAL OF LIE THEORY,J LIE THEORY,GERMANY,Yes,
JOURNAL OF LIGHTWAVE TECHNOLOGY,J LIGHTWAVE TECHNOL,UNITED STATES,Yes,
JOURNAL OF LIMNOLOGY,J LIMNOL,ITALY,Yes,
JOURNAL OF LINGUISTIC ANTHROPOLOGY,J LINGUIST ANTHROPOL,UNITED STATES,,Yes
JOURNAL OF LINGUISTICS,J LINGUIST,UNITED STATES,,Yes
JOURNAL OF LIPID RESEARCH,J LIPID RES,UNITED STATES,Yes,
JOURNAL OF LIPOSOME RESEARCH,J LIPOSOME RES,UNITED STATES,Yes,
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,J LIQ CHROMATOGR R T,UNITED STATES,Yes,
JOURNAL OF LITERACY RESEARCH,J LIT RES,UNITED STATES,,Yes
JOURNAL OF LOGIC AND COMPUTATION,J LOGIC COMPUT,ENGLAND,Yes,
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,J LOGIC LANG INFORM,NETHERLANDS,Yes,
JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,J LOG ALGEBR METHODS,UNITED STATES,Yes,
JOURNAL OF LOSS & TRAUMA,J LOSS TRAUMA,UNITED STATES,,Yes
JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,J LOSS PREVENT PROC,ENGLAND,Yes,
JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,J LOW FREQ NOISE V A,ENGLAND,Yes,
JOURNAL OF LOW TEMPERATURE PHYSICS,J LOW TEMP PHYS,UNITED STATES,Yes,
JOURNAL OF LOWER GENITAL TRACT DISEASE,J LOW GENIT TRACT DI,UNITED STATES,Yes,
JOURNAL OF LUMINESCENCE,J LUMIN,NETHERLANDS,Yes,
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,UNITED STATES,Yes,
JOURNAL OF MACROECONOMICS,J MACROECON,NETHERLANDS,,Yes
JOURNAL OF MACROMARKETING,J MACROMARKETING,UNITED STATES,,Yes
JOURNAL OF MACROMOLECULAR SCIENCE PART A-PURE AND APPLIED CHEMISTRY,J MACROMOL SCI A,UNITED STATES,Yes,
JOURNAL OF MACROMOLECULAR SCIENCE PART B-PHYSICS,J MACROMOL SCI B,UNITED STATES,Yes,
JOURNAL OF MAGNESIUM AND ALLOYS,J MAGNES ALLOY,PEOPLES R CHINA,Yes,
JOURNAL OF MAGNETIC RESONANCE,J MAGN RESON,UNITED STATES,Yes,
JOURNAL OF MAGNETIC RESONANCE IMAGING,J MAGN RESON IMAGING,UNITED STATES,Yes,
JOURNAL OF MAGNETICS,J MAGN,SOUTH KOREA,Yes,
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,J MAGN MAGN MATER,NETHERLANDS,Yes,
JOURNAL OF MAMMALIAN EVOLUTION,J MAMM EVOL,UNITED STATES,Yes,
JOURNAL OF MAMMALOGY,J MAMMAL,UNITED STATES,Yes,
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,J MAMMARY GLAND BIOL,UNITED STATES,Yes,
JOURNAL OF MANAGED CARE & SPECIALTY PHARMACY,J MANAG CARE SPEC PH,UNITED STATES,Yes,
JOURNAL OF MANAGEMENT,J MANAGE,UNITED STATES,,Yes
JOURNAL OF MANAGEMENT & ORGANIZATION,J MANAGE ORGAN,ENGLAND,,Yes
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,UNITED STATES,Yes,
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,J MANAGE INFORM SYST,UNITED STATES,Yes,Yes
JOURNAL OF MANAGEMENT INQUIRY,J MANAGE INQUIRY,UNITED STATES,,Yes
JOURNAL OF MANAGEMENT STUDIES,J MANAGE STUD,ENGLAND,,Yes
JOURNAL OF MANAGERIAL PSYCHOLOGY,J MANAGE PSYCHOL,ENGLAND,,Yes
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,J MANIP PHYSIOL THER,UNITED STATES,Yes,
JOURNAL OF MANUFACTURING PROCESSES,J MANUF PROCESS,UNITED STATES,Yes,
JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,J MANUF SCI E-T ASME,UNITED STATES,Yes,
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,ENGLAND,Yes,
JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT,J MANUF TECHNOL MANA,ENGLAND,Yes,Yes
JOURNAL OF MAPS,J MAPS,ENGLAND,Yes,Yes
JOURNAL OF MARINE ENGINEERING AND TECHNOLOGY,J MAR ENG TECHNOL,ENGLAND,Yes,
JOURNAL OF MARINE RESEARCH,J MAR RES,UNITED STATES,Yes,
JOURNAL OF MARINE SCIENCE AND ENGINEERING,J MAR SCI ENG,SWITZERLAND,Yes,
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,J MAR SCI TECH-JAPAN,JAPAN,Yes,
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY-TAIWAN,J MAR SCI TECH-TAIW,TAIWAN,Yes,
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,NETHERLANDS,Yes,
JOURNAL OF MARITAL AND FAMILY THERAPY,J MARITAL FAM THER,UNITED STATES,,Yes
JOURNAL OF MARKETING,J MARKETING,UNITED STATES,,Yes
JOURNAL OF MARKETING FOR HIGHER EDUCATION,J MARK HIGH EDUC,UNITED STATES,,Yes
JOURNAL OF MARKETING MANAGEMENT,J MARKET MANAG-UK,ENGLAND,,Yes
JOURNAL OF MARKETING RESEARCH,J MARKETING RES,UNITED STATES,,Yes
JOURNAL OF MARRIAGE AND FAMILY,J MARRIAGE FAM,UNITED STATES,,Yes
JOURNAL OF MASS SPECTROMETRY,J MASS SPECTROM,ENGLAND,Yes,
JOURNAL OF MATERIAL CULTURE,J MAT CULT,ENGLAND,,Yes
JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,J MATER CYCLES WASTE,JAPAN,Yes,
JOURNAL OF MATERIALS CHEMISTRY A,J MATER CHEM A,ENGLAND,Yes,
JOURNAL OF MATERIALS CHEMISTRY B,J MATER CHEM B,ENGLAND,Yes,
JOURNAL OF MATERIALS CHEMISTRY C,J MATER CHEM C,ENGLAND,Yes,
JOURNAL OF MATERIALS EDUCATION,J MATER EDUC,UNITED STATES,Yes,
JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,J MATER ENG PERFORM,UNITED STATES,Yes,
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,J MATER CIVIL ENG,UNITED STATES,Yes,
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,SWITZERLAND,Yes,
JOURNAL OF MATERIALS RESEARCH,J MATER RES,UNITED STATES,Yes,
JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY-JMR&T,J MATER RES TECHNOL,BRAZIL,Yes,
JOURNAL OF MATERIALS SCIENCE,J MATER SCI,UNITED STATES,Yes,
JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,J MATER SCI TECHNOL,PEOPLES R CHINA,Yes,
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,J MATER SCI-MATER EL,NETHERLANDS,Yes,
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,J MATER SCI-MATER M,NETHERLANDS,Yes,
JOURNAL OF MATERIOMICS,J MATERIOMICS,PEOPLES R CHINA,Yes,
JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE,J MATERN-FETAL NEO M,ENGLAND,Yes,
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,J MATH ANAL APPL,UNITED STATES,Yes,
JOURNAL OF MATHEMATICAL BIOLOGY,J MATH BIOL,GERMANY,Yes,
JOURNAL OF MATHEMATICAL CHEMISTRY,J MATH CHEM,UNITED STATES,Yes,
JOURNAL OF MATHEMATICAL ECONOMICS,J MATH ECON,SWITZERLAND,Yes,Yes
JOURNAL OF MATHEMATICAL FLUID MECHANICS,J MATH FLUID MECH,SWITZERLAND,Yes,
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,NETHERLANDS,Yes,
JOURNAL OF MATHEMATICAL INEQUALITIES,J MATH INEQUAL,CROATIA,Yes,
JOURNAL OF MATHEMATICAL LOGIC,J MATH LOG,SINGAPORE,Yes,
JOURNAL OF MATHEMATICAL NEUROSCIENCE,J MATH NEUROSCI,GERMANY,Yes,
JOURNAL OF MATHEMATICAL PHYSICS,J MATH PHYS,UNITED STATES,Yes,
